City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
13,Georgetown,MY,24.38,scattered clouds,5.4112,100.3354,Cititel Penang
14,Ushtobe,KZ,22.3,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
19,Lagoa,PT,21.66,clear sky,39.05,-27.9833,Casa Das Faias
25,Moose Factory,CA,21.0,few clouds,51.2585,-80.6094,Moosonee Lilypad
32,Abha,SA,20.14,scattered clouds,18.2164,42.5053,Abha Hotel
38,Malakal,SS,24.87,scattered clouds,9.5334,31.6605,Nile Palace Hotel
39,Los Llanos De Aridane,ES,22.86,few clouds,28.6585,-17.9182,Valle Aridane
48,Saint-Philippe,RE,20.77,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
51,Kipini,KE,24.47,clear sky,-2.5257,40.5262,Delta Sea Mall
57,Severnyy,RU,20.02,clear sky,50.677,36.5532,Full House North Mini-Hotel
60,Surgut,RU,21.1,clear sky,61.25,73.4167,Business Hotel
64,Vila Franca Do Campo,PT,23.23,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
79,Falmouth,GB,20.5,clear sky,50.1544,-5.0711,The Falmouth Hotel
103,Soyo,AO,23.16,overcast clouds,-6.1349,12.3689,Hotel Mpampa
104,Axim,GH,24.62,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
109,Gemena,CD,21.75,moderate rain,3.25,19.7667,Hôtel Goshen
110,Tabou,CI,24.85,scattered clouds,4.423,-7.3528,hotêl doufoulougou
115,Saint-Joseph,RE,20.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
116,Sechura,PE,24.3,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
117,Tias,ES,23.86,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
119,Mahebourg,MU,21.16,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Bengkulu,ID,23.21,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
129,Shepsi,RU,24.35,clear sky,44.0361,39.1489,Otel' Chayka
136,Cuamba,MZ,23.12,clear sky,-14.8031,36.5372,Hotel Vision
141,Porto Santo,PT,24.95,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
142,Mocuba,MZ,20.71,clear sky,-16.8392,36.9856,Phama Lodge
148,Vieste,IT,24.17,broken clouds,41.8825,16.175,Hotel Falcone
149,Zhezkazgan,KZ,24.2,clear sky,47.8043,67.7144,Hotel Zumrat
151,Havre-Saint-Pierre,CA,20.2,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
154,Saint Anthony,US,24.18,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
156,Novoorsk,RU,22.36,clear sky,51.381,58.9813,Gostevoi dom >
160,Dingle,PH,24.51,light rain,10.9995,122.6711,SEGAYA PROPERTY
161,Thohoyandou,ZA,22.88,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
170,Mogadishu,SO,24.95,few clouds,2.0371,45.3438,Hotel Juba
171,Souillac,MU,21.21,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
173,Pithiviers,FR,21.2,clear sky,48.1667,2.25,Relais de la Poste
178,Paita,PE,24.31,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
182,Weligama,LK,25.0,few clouds,5.9667,80.4167,Weligama Bay Resort
193,Ribeira Grande,PT,24.22,few clouds,38.5167,-28.7,Quinta da Meia Eira
197,Kaoma,ZM,23.15,clear sky,-14.7833,24.8,KAOMA AIRPORT
198,Harper,LR,24.88,light rain,4.375,-7.7169,Screensaver
212,Sikonge,TZ,23.75,clear sky,-5.6333,32.7667,Pretoria 2 Lodge
213,Bambous Virieux,MU,21.14,scattered clouds,-20.3428,57.7575,Casa Tia Villa
215,Vylkove,UA,21.47,clear sky,45.4021,29.586,Pelican City
224,Zimovniki,RU,20.34,few clouds,47.1483,42.4633,Guest House
234,Pokhara,NP,21.45,moderate rain,28.2333,83.9833,Butterfly Lodge
236,Galbinasi,RO,23.54,scattered clouds,45.0833,26.9167,Visad'Or
242,Glubokiy,RU,20.56,clear sky,48.5217,40.3258,Tikhiy Dvorik
246,Kismayo,SO,24.48,clear sky,-0.3582,42.5454,Agan-Hotel
250,Makhachkala,RU,23.99,overcast clouds,42.9764,47.5024,Argo
257,Sarkand,KZ,21.19,overcast clouds,45.41,79.9186,Гостиница Сарканд
264,Chiredzi,ZW,24.3,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
265,Mchinji,MW,20.71,scattered clouds,-13.7984,32.8802,Kayesa Inn
267,Grand Gaube,MU,21.22,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
269,Takoradi,GH,24.63,light rain,4.8845,-1.7554,Raybow International Hotel
278,Venancio Aires,BR,23.01,scattered clouds,-29.6064,-52.1919,Hotel Guest
279,Hauterive,FR,21.42,clear sky,46.0901,3.4459,Aletti Palace Hotel
283,Gboko,NG,24.99,light rain,7.3179,8.9951,Mavillah Apartment and Suites
284,Bandundu,CD,23.28,overcast clouds,-3.3167,17.3667,Coja Color
286,Nouadhibou,MR,22.99,clear sky,20.931,-17.0347,El Medina
290,Cap Malheureux,MU,21.27,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
295,Piacabucu,BR,24.95,few clouds,-10.4056,-36.4344,Piaçabuçu News
296,Cotonou,BJ,24.99,light rain,6.3654,2.4183,Novotel Cotonou Orisha
297,Porto Novo,BJ,24.9,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
304,Stirion,GR,23.45,clear sky,38.4,22.7167,HOTEL ΑΣΤΕΡΙΑ
309,Cossato,IT,23.75,scattered clouds,45.5739,8.1817,B&B Villa Botto
313,Bandarbeyla,SO,24.91,scattered clouds,9.4942,50.8122,JABIR HOTEL
320,Karaton,ID,24.09,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
321,Port-Cartier,CA,21.12,overcast clouds,50.0334,-66.8654,Le Q'Artier
324,Wamba,NG,23.85,moderate rain,8.9333,8.6,Roma Zee Guest House Annex
325,Mkushi,ZM,21.83,scattered clouds,-13.6202,29.3939,Mkushi Police Club
327,Idah,NG,23.84,light rain,7.1065,6.7342,Ubiga Hotel Idah
328,Marsabit,KE,21.85,clear sky,2.3284,37.9899,Chicho Hotel
330,George Town,MY,24.38,scattered clouds,5.4112,100.3354,Cititel Penang
334,Pemba,MZ,24.39,scattered clouds,-12.974,40.5178,Guesthouse Samotina
336,Basoko,CD,23.42,light rain,1.2391,23.616,Jackyna Hotel
337,Dharchula,IN,22.99,overcast clouds,29.85,80.5333,Mahara Hotel
341,Puerto Lumbreras,ES,24.99,clear sky,37.5633,-1.8097,Hotel Riscal
343,Zwedru,LR,23.24,moderate rain,6.0667,-8.1281,Elijah Worjloh
349,Alberton,CA,22.07,light rain,46.8168,-64.0654,La Petite France B&B
353,Binga,ZW,23.35,clear sky,-17.6203,27.3414,Lakeview Inn Binga
355,Guia De Isora,ES,21.51,clear sky,28.2115,-16.7795,La Vista Pension
359,Praia Da Vitoria,PT,24.14,few clouds,38.7333,-27.0667,Hotel Branco I
