City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Jacareacanga,-6.2222,-57.7528,36.17,46,0,3.09,BR,2021-08-24 18:51:10,clear sky
1,Adrar,20.5022,-10.0711,38.78,14,3,2.6,MR,2021-08-24 18:50:41,clear sky
2,Santa Isabel Do Rio Negro,-0.4139,-65.0192,36.26,33,89,2.24,BR,2021-08-24 18:48:53,overcast clouds
3,Great Yarmouth,52.6083,1.7305,17.53,96,53,4.46,GB,2021-08-24 18:54:14,broken clouds
4,Comodoro Rivadavia,-45.8667,-67.5,9.92,46,0,8.23,AR,2021-08-24 18:57:18,clear sky
5,Cidreira,-30.1811,-50.2056,17.23,93,85,5.18,BR,2021-08-24 18:57:19,heavy intensity rain
6,Manyana,-23.4,21.7167,20.26,17,64,4.41,BW,2021-08-24 18:57:19,broken clouds
7,Lebu,-37.6167,-73.65,9.29,58,89,4.32,CL,2021-08-24 18:48:10,overcast clouds
8,Jalu,29.0331,21.5482,30.63,29,0,4.75,LY,2021-08-24 18:49:04,clear sky
9,Faaborg,55.0951,10.2423,18.0,70,100,3.49,DK,2021-08-24 18:57:19,overcast clouds
10,Iqaluit,63.7506,-68.5145,6.85,81,90,2.06,CA,2021-08-24 18:49:08,overcast clouds
11,Svetlogorsk,52.6333,29.7333,12.53,98,100,2.89,BY,2021-08-24 18:57:20,light rain
12,Namibe,-15.1961,12.1522,17.37,70,2,5.08,AO,2021-08-24 18:50:05,clear sky
13,Georgetown,5.4112,100.3354,24.38,93,40,1.54,MY,2021-08-24 18:57:20,scattered clouds
14,Ushtobe,45.2514,77.9838,22.3,16,100,0.23,KZ,2021-08-24 18:57:20,overcast clouds
15,Raudeberg,61.9875,5.1352,15.11,95,100,0.45,NO,2021-08-24 18:50:36,overcast clouds
16,Busselton,-33.65,115.3333,8.94,58,5,4.41,AU,2021-08-24 18:57:21,clear sky
17,Cape Town,-33.9258,18.4232,14.51,87,20,0.45,ZA,2021-08-24 18:54:54,light rain
18,Ostrovnoy,68.0531,39.5131,6.57,73,100,1.43,RU,2021-08-24 18:49:09,overcast clouds
19,Lagoa,39.05,-27.9833,21.66,69,0,6.65,PT,2021-08-24 18:57:21,clear sky
20,Ponta Do Sol,32.6667,-17.1,25.35,79,1,2.22,PT,2021-08-24 18:57:21,clear sky
21,Sao Joao Da Barra,-21.6403,-41.0511,27.05,77,0,9.14,BR,2021-08-24 18:49:27,clear sky
22,Pangnirtung,66.1451,-65.7125,7.0,87,90,3.6,CA,2021-08-24 18:49:57,light rain
23,Teeli,51.0333,90.2333,12.08,65,7,0.14,RU,2021-08-24 18:57:22,clear sky
24,Sorland,67.667,12.6934,10.04,92,100,12.55,NO,2021-08-24 18:49:32,light rain
25,Moose Factory,51.2585,-80.6094,21.0,52,20,6.17,CA,2021-08-24 18:51:14,few clouds
26,Qaanaaq,77.484,-69.3632,6.63,58,100,1.51,GL,2021-08-24 18:57:22,overcast clouds
27,Vardo,70.3705,31.1107,9.11,87,75,4.63,NO,2021-08-24 18:57:22,broken clouds
