City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Taoudenni,22.6783,-3.9836,43.39,6,3,6.47,ML,2021-08-24 17:30:37
1,Georgetown,5.4112,100.3354,24.38,91,40,1.54,MY,2021-08-24 17:30:23
2,Hofn,64.2539,-15.2082,14.68,92,93,3.64,IS,2021-08-24 17:30:37
3,Hvide Sande,56.0045,8.1294,18.16,80,96,5.78,DK,2021-08-24 17:30:38
4,Bathsheba,13.2167,-59.5167,31.34,70,40,8.75,BB,2021-08-24 17:30:38
5,Camacha,33.0833,-16.3333,25.85,65,20,6.17,PT,2021-08-24 17:30:38
6,Grand Gaube,-20.0064,57.6608,21.22,63,88,2.24,MU,2021-08-24 17:30:39
7,Ushuaia,-54.8,-68.3,3.81,75,40,1.54,AR,2021-08-24 17:30:39
8,Luanda,-8.8368,13.2343,23.0,78,40,4.63,AO,2021-08-24 17:26:43
9,Stratford,41.1845,-73.1332,32.49,67,40,4.12,US,2021-08-24 17:30:39
10,Husavik,66.0449,-17.3389,17.95,85,38,2.65,IS,2021-08-24 17:30:40
11,Busselton,-33.65,115.3333,10.05,59,15,4.37,AU,2021-08-24 17:30:40
12,Upernavik,72.7868,-56.1549,7.1,67,89,4.6,GL,2021-08-24 17:30:40
13,Tasiilaq,65.6145,-37.6368,10.09,94,100,8.16,GL,2021-08-24 17:30:41
14,Port Alfred,-33.5906,26.891,15.67,80,0,7.25,ZA,2021-08-24 17:30:41
15,Cape Town,-33.9258,18.4232,15.23,82,20,0.45,ZA,2021-08-24 17:26:44
16,Mopti,14.6667,-4.0,35.61,35,14,2.03,ML,2021-08-24 17:30:41
17,Emba,48.8264,58.1442,26.1,21,15,4.11,KZ,2021-08-24 17:30:42
18,Kismayo,-0.3582,42.5454,24.43,78,1,6.96,SO,2021-08-24 17:30:42
19,Adwa,14.1646,38.8955,17.13,80,84,1.12,ET,2021-08-24 17:30:42
20,Cascais,38.6979,-9.4215,24.75,81,75,3.6,PT,2021-08-24 17:30:43
21,Hambantota,6.1241,81.1185,26.03,85,17,5.48,LK,2021-08-24 17:30:43
22,Hithadhoo,-0.6,73.0833,28.59,69,16,5.43,MV,2021-08-24 17:30:43
23,Korla,41.7597,86.1469,27.43,16,87,5.37,CN,2021-08-24 17:30:44
24,San Pedro De Ycuamandiyu,-24.0917,-57.0764,38.54,20,20,4.76,PY,2021-08-24 17:30:44
25,Inta,66.0317,60.1659,8.91,82,100,2.63,RU,2021-08-24 17:30:44
26,Arraial Do Cabo,-22.9661,-42.0278,28.98,57,0,6.69,BR,2021-08-24 17:30:45
27,Bonavista,48.6499,-53.1147,26.0,71,100,6.52,CA,2021-08-24 17:30:45
28,Sao Jose Da Coroa Grande,-8.8978,-35.1478,25.44,79,15,5.59,BR,2021-08-24 17:30:45
29,Bud,39.447,-86.1758,33.36,63,10,1.85,US,2021-08-24 17:30:46
30,Cururupu,-1.8283,-44.8683,30.35,58,42,3.8,BR,2021-08-24 17:27:32
31,Dikson,73.5069,80.5464,5.13,95,100,15.17,RU,2021-08-24 17:30:46
32,Qaanaaq,77.484,-69.3632,6.55,58,100,1.45,GL,2021-08-24 17:30:46
33,Castro,-24.7911,-50.0119,24.86,39,56,4.17,BR,2021-08-24 17:30:47
34,Korocha,50.8107,37.1953,22.4,45,39,3.52,RU,2021-08-24 17:30:47
35,Perdoes,-21.0908,-45.0914,31.16,19,0,0.45,BR,2021-08-24 17:30:47
36,Taltal,-25.4,-70.4833,13.08,70,54,2.06,CL,2021-08-24 17:30:48
37,Forio,40.7342,13.8646,28.72,82,13,2.24,IT,2021-08-24 17:30:48
38,Punta Arenas,-53.15,-70.9167,3.97,57,54,3.53,CL,2021-08-24 17:26:08
39,Horki,54.2861,30.9842,13.78,67,100,2.24,BY,2021-08-24 17:30:48
40,Vryburg,-26.9566,24.7284,17.53,16,0,3.88,ZA,2021-08-24 17:30:49
41,Tocopilla,-22.092,-70.1979,15.61,70,9,2.32,CL,2021-08-24 17:30:49
